id_aves,codigo,sinonimo,nombre,morfometria,endenismo,migraciòn,ecologia,behaviour,anio_publicacion,anio_colleccion,familia_id_familia,especies_id_especies,uicn_id_UICN
1,UTPL_A0222,,Little Tinamou,no,,,no,no,2008,2007,75,218,1
2,UTPL_A0151,,Sickle-winged Guan,no,,,no,no,2008,2007,22,148,1
3,UTPL_A0547,,Crested Guan,no,,,no,no,2008,2007,22,534,1
4,UTPL_A0520,,Rufous-headed Chachalaca,no,BT - RM,,no,no,2008,2007,22,503,2
5,UTPL_A0513,,Rufous-fronted Wood-Quail,no,,,no,no,2008,2007,46,496,1
6,UTPL_A0452,,Wood Stork,no,,,no,no,2008,2007,16,428,1
7,UTPL_A0293,,Magnificent Frigatebird,no,,,no,no,2008,2007,29,281,1
8,UTPL_A0793,,Fasciated Tiger-Heron,no,,,no,no,2008,2007,8,770,1
9,UTPL_A0088,,Cattle Egret,no,,MB - C ?,no,no,2008,2007,8,90,1
10,UTPL_A0047,,Great Egret,no,,MB - C ?,no,no,2008,2007,8,51,1
11,UTPL_A0259,,Snowy Egret,no,,,no,no,2008,2007,8,249,1
12,UTPL_A0134,,Turkey Vulture,no,,MB - C ,no,no,2008,2007,14,134,1
13,UTPL_A0210,,Black Vulture,no,,,no,no,2008,2007,14,207,1
14,UTPL_A0681,,King Vulture,no,,,no,no,2008,2007,14,661,1
15,UTPL_A0527,,Osprey,no,,MB,no,no,2008,2007,47,513,1
16,UTPL_A0388,,Gray-headed Kite,no,,,no,no,2008,2007,1,362,1
17,UTPL_A0265,,Swallow-tailed Kite,no,,MB - C ,no,no,2008,2007,1,254,1
18,UTPL_A0707,,Black Hawk-Eagle,no,,,no,no,2008,2007,1,688,1
19,UTPL_A0706,,Ornate Hawk-Eagle,no,,,no,no,2008,2007,1,687,3
20,UTPL_A0333,,Double-toothed Kite,no,,,no,no,2008,2007,1,316,1
21,UTPL_A0366,,Plumbeous Kite,no,,MB - C ?,no,no,2008,2007,1,344,1
22,UTPL_A0004,,Tiny Hawk,no,,,no,no,2008,2007,1,3,1
23,UTPL_A0005,,Plain-breasted Hawk,no,,,no,no,2008,2007,1,4,4
24,UTPL_A0002,,Bicolored Hawk,no,,,no,no,2008,2007,1,2,1
25,UTPL_A0097,,Savanna Hawk,no,,,no,no,2008,2007,1,99,1
26,UTPL_A0099,,Great Black-Hawk,no,,,no,no,2008,2007,1,101,1
27,UTPL_A0098,,Solitary Eagle,no,,,no,no,2008,2007,1,100,3
28,UTPL_A0447,,Barred Hawk,no,,,no,no,2008,2007,1,422,1
29,UTPL_A0672,Bueteo magnirostris,Roadside Hawk,no,,,no,no,2008,2007,1,653,1
30,UTPL_A0312,Buteo polyosoma,Variable Hawk,no,,,no,no,2008,2007,1,297,1
31,UTPL_A0634,Leucopternis occidentalis,Gray-backed Hawk,no,BT,,no,no,2008,2007,1,616,5
32,UTPL_A0093,Asturina nitida,Gray-lined Hawk,no,,,no,no,2008,2007,1,95,1
33,UTPL_A0094,,Broad-winged Hawk,no,,MB,no,no,2008,2007,1,96,1
34,UTPL_A0092,,Short-tailed Hawk,no,,,no,no,2008,2007,1,94,1
35,UTPL_A0095,,Swainson's Hawk,no,,MB -D-P,no,no,2008,2007,1,97,1
36,UTPL_A0091,,Zone-tailed Hawk,no,,,no,no,2008,2007,1,93,1
37,UTPL_A0380,,White-throated Crake,no,,,no,no,2008,2007,61,354,1
38,UTPL_A0280,,Sunbittern,no,,,no,no,2008,2007,26,268,1
