id_Especie_Fotos,Especies_id_especies,Fotos_id_fotos
1,129,1
2,173,2
3,173,3
4,173,4
5,173,5
6,173,6
7,173,7
8,173,8
9,195,9
10,196,10
11,280,11
12,214,12
13,214,13
14,214,14
15,214,15
16,480,16
17,480,17
18,480,18
19,480,19
20,17,20
21,17,21
22,17,22
23,17,23
24,17,24
25,791,25
26,791,26
27,791,27
28,791,28
29,154,29
30,154,30
31,154,31
32,154,32
33,154,33
34,154,34
35,154,35
36,154,36
37,420,37
38,420,38
39,420,39
40,420,40
41,420,41
42,420,42
43,420,43
44,420,44
45,119,45
46,119,46
47,119,47
48,119,48
49,119,49
50,119,50
51,119,51
52,119,52
53,119,53
54,119,54
55,119,55
56,119,56
57,119,57
58,119,58
59,119,59
60,51,60
61,51,61
62,579,62
63,579,63
64,579,64
65,579,65
66,283,66
67,283,67
68,283,68
69,720,69
70,720,70
71,720,71
72,720,72
73,720,73
74,720,74
75,720,75
76,720,76
77,720,77
78,720,78
79,720,79
80,720,80
81,720,81
82,720,82
83,720,83
84,720,84
85,720,85
86,359,86
87,359,87
88,359,88
89,359,89
90,359,90
91,359,91
92,359,92
93,359,93
94,359,94
95,359,95
96,359,96
97,359,97
98,359,98
99,359,99
100,359,100
101,359,101
102,359,102
103,120,103
104,120,104
105,120,105
106,120,106
107,120,107
108,120,108
109,120,109
110,439,110
111,439,111
112,439,112
113,439,113
114,439,114
115,439,115
116,439,116
117,439,117
118,429,118
119,429,119
120,429,120
121,634,121
122,634,122
123,634,123
124,634,124
125,634,125
126,634,126
127,634,127
128,634,128
129,506,129
130,222,130
131,222,131
132,222,132
133,222,133
134,222,134
135,207,135
136,123,136
137,784,137
138,784,138
139,784,139
140,784,140
141,784,141
142,784,142
143,784,143
144,784,144
145,784,145
146,695,146
147,695,147
148,695,148
149,695,149
150,695,150
151,695,151
152,298,152
153,298,153
154,298,154
155,298,155
156,298,156
157,342,157
158,342,158
159,342,159
160,342,160
161,343,161
162,343,162
163,818,163
164,818,164
165,818,165
166,818,166
167,516,167
