id_especies,species
1,Aburria aburri
2,Accipiter bicolor
3,Accipiter superciliosus
4,Accipiter ventralis
5,Acropternis orthonyx
6,Actitis macularius
7,Adelomyia melanogenys
8,Aeronautes montivagus
9,Aglaeactis cupripennis
10,Aglaiocercus coelestis
11,Aglaiocercus kingi
12,Agriornis albicauda
13,Agriornis montanus
14,Amaurolimnas concolor
15,Amaurospiza concolor
16,Amazilia amabilis
17,Amazilia amazilia
18,Amazilia franciae
19,Amazilia rosenbergi
20,Amazilia tzacatl
21,Amazona autumnalis
22,Amazona farinosa
23,Amazona mercenarius
24,Amblycercus holosericeus
25,Ampelioides tschudii
26,Ampelion rubrocristatus
27,Anabacerthia variegaticeps
28,Anairetes flavirostris
29,Anairetes nigrocristatus
30,Anairetes parulus
31,Anas bahamensis
32,Anas cyanoptera
33,Anas discors
34,Anas georgica
35,Andigena hypoglauca
36,Anhima cornuta
37,Anhinga anhinga
38,Anisognathus igniventris
39,Anisognathus lacrymosus
40,Anisognathus notabilis
41,Anisognathus somptuosus
42,Anthracothorax nigricollis
43,Anthus lutescens 
44,Aphriza virgata
45,Ara ambiguus
46,Ara severus
47,Aramides axillaris
48,Aramides wolfi
49,Aramus guarauna
50,Aratinga weddellii
51,Ardea alba
52,Ardea cocoi
53,Ardea herodias
54,Ardenna creatopus
55,Ardenna grisea
56,Arenaria interpres
57,Arremon abeillei
58,Arremon assimilis
59,Arremon aurantiirostris
60,Arremon brunneinucha
61,Arremonops conirostris
62,Asio flammeus
63,Asthenes flammulata
64,Asthenes griseomurina
65,Astragalinus psaltria
66,Athene cunicularia
67,Atlapetes albiceps
68,Atlapetes latinuchus
69,Atlapetes leucopterus
70,Atlapetes pallidiceps
71,Atlapetes pallidinucha
72,Atlapetes seebohmi
73,Atticora tibialis
74,Attila spadiceus
75,Attila torridus
76,Aulacorhynchus haematopygus
77,Aulacorhynchus prasinus
78,Automolus ochrolaemus
79,Automolus subulatus
80,Baryphthengus martii
