id_familia,nombre,order_id_order
1,Accipitridae,1
2,Alcedinidae,9
3,Anatidae,2
4,Anhimidae,2
5,Anhingidae,2
6,Apodidae,3
7,Aramidae,16
8,Ardeidae,18
9,Bucconidae,13
10,Burhinidae,6
11,Capitonidae,21
12,Caprimulgidae,4
13,Cardinalidae,17
14,Cathartidae,5
15,Charadriidae,6
16,Ciconiidae,7
17,Cinclidae,17
18,Columbidae,8
19,Conopophagidae,17
20,Corvidae,17
21,Cotingidae,17
22,Cracidae,14
23,Cuculidae,10
24,Diomedeidae,23
25,Emberizidae,17
26,Eurypygidae,11
27,Falconidae,12
28,Formicariidae,17
29,Fregatidae,26
30,Fringillidae,17
31,Furnariidae,17
32,Galbulidae,13
33,Grallariidae,17
34,Haematopodidae,6
35,Hirundinidae,17
36,Hydrobatidae,23
37,Icteridae,17
38,Incertae Sedis,17
39,Jacanidae,6
40,Laridae,6
41,Melanopareiidae,17
42,Mimidae,17
43,Momotidae,9
44,Motacillidae,17
45,Nyctibiidae,4
46,Odontophoridae,14
47,Pandionidae,1
48,Parulidae,17
49,Passeridae,17
50,Pelecanidae,18
51,Pelecanoididae,23
52,Phaethontidae,19
53,Phalacrocoracidae,26
54,Phoenicopteridae,20
55,Picidae,21
56,Pipridae,17
57,Podicipedidae,22
58,Polioptilidae,17
59,Procellariidae,23
60,Psittacidae,24
61,Rallidae,16
62,Ramphastidae,21
63,Recurvirostridae,6
64,Rhinocryptidae,17
65,Rynchopidae,6
66,Scolopacidae,6
67,Semnornithidae,21
68,Steatornithidae,4
69,Strigidae,25
70,Sulidae,26
71,Thamnophilidae,17
72,Thinocoridae,6
73,Thraupidae,17
74,Threskiornithidae,18
75,Tinamidae,27
76,Tityridae,17
77,Trochilidae,3
78,Troglodytidae,17
79,Trogonidae,28
80,Turdidae,17
81,Tyrannidae,17
82,Tytonidae,25
83,Vireonidae,17
