id_fotos,url
1,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/10. Caracara cheriway/MS/DSC09724 (MS).JPG
2,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/MS/DSC09802(MS).JPG
3,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/MS/DSC09803(MS).JPG
4,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/MS/DSC09804(MS).JPG
5,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/SE/IMG_5130.JPG
6,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/SE/IMG_5131.JPG
7,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/SE/IMG_5136.JPG
8,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/13. Claravis pretiosa/SE/IMG_5137.JPG
9,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/15. Columbina buckleyi/MS/hembra
10,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/16. Columbina cruziana/MS/macho
11,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/19. Forpus coelestis/MS/macho
12,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/20. Crotophaga sulcirostris/MS/DSC09538(MS).JPG
13,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/20. Crotophaga sulcirostris/MS/DSC09543(MS).JPG
14,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/20. Crotophaga sulcirostris/MS/DSC09544(MS).JPG
15,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/20. Crotophaga sulcirostris/MS/DSC09545(MS).JPG
16,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/24. Nyctidromus albicollis/MS/DSC09411(MS).JPG
17,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/24. Nyctidromus albicollis/MS/DSC09412(MS).JPG
18,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/24. Nyctidromus albicollis/MS/DSC09413(MS).JPG
19,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/24. Nyctidromus albicollis/MS/DSC09436(MS).JPG
20,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/25. Amazilia amazilia/MS/DSC08939 (MS).JPG
21,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/25. Amazilia amazilia/MS/DSC08939(MS).JPG
22,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/25. Amazilia amazilia/SE/IMG_4683.JPG
23,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/25. Amazilia amazilia/SE/IMG_4684.JPG
24,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/25. Amazilia amazilia/SE/IMG_4687.JPG
25,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/26. Trogon mesurus/MS/DSC08842.JPG
26,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/26. Trogon mesurus/MS/DSC08843.JPG
27,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/26. Trogon mesurus/MS/DSC08844.JPG
28,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/26. Trogon mesurus/MS/DSC08845.JPG
29,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/MS/DSC09764(MS).JPG
30,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/MS/DSC09765(MS).JPG
31,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-h.JPG
32,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-h1.JPG
33,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-h2.JPG
34,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-h3.JPG
35,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-m.JPG
36,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Chloroceryle americana.JPG
37,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm10.JPG
38,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm13.JPG
39,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm4.JPG
40,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm6.JPG
41,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm7.JPG
42,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/momotus momota 2.jpg
43,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/momotus momota 3.jpg
44,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/momotus momota.jpg
45,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4951.JPG
46,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4953.JPG
47,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4955.JPG
48,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4958.JPG
49,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4959.JPG
50,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4960.JPG
51,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4961.JPG
52,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5030.JPG
53,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5032.JPG
54,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5033.JPG
55,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5035.JPG
56,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5036.JPG
57,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5038.JPG
58,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5040.JPG
59,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5043.JPG
60,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/3. Ardea alba/MS/DSC09942(MS).JPG
61,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/3. Ardea alba/MS/DSC09943(MS).JPG
62,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/31. Picumnus sclateri/SE/IMG_3978.JPG
63,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/31. Picumnus sclateri/SE/IMG_3979.JPG
64,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/31. Picumnus sclateri/SE/IMG_3989.JPG
65,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/31. Picumnus sclateri/SE/redu.jpg
66,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/33. Furnarius cinnamomeus/MS/DSC01061 (MS).JPG
67,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/33. Furnarius cinnamomeus/MS/DSC01061(MS).JPG
68,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/33. Furnarius cinnamomeus/MS/DSC01063(MS).JPG
69,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (2).JPG
70,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (3).JPG
71,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (4).JPG
72,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (5).JPG
73,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (6).JPG
74,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (7).JPG
75,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (8).JPG
76,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (9).JPG
77,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo.JPG
78,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5007.JPG
79,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5008.JPG
80,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5009.JPG
81,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5012.JPG
82,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5013.JPG
83,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5017.JPG
84,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5020.JPG
85,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/redu.jpg
86,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (10).JPG
87,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (3).JPG
88,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (4).JPG
89,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (5).JPG
90,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (6).JPG
91,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (7).JPG
92,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (8).JPG
93,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (9).JPG
94,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii).JPG
95,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3482.JPG
96,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3485.JPG
97,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3493.JPG
98,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3881.JPG
99,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3887.JPG
100,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/lepidocadaptes souleyetti 2.jpg
101,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/lepidocadaptes souleyetti.jpg
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/Ls1.JPG
103,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3895.JPG
104,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3910.JPG
105,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3950.JPG
106,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3954.JPG
107,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3959.JPG
108,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_4662.JPG
109,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_4665.JPG
110,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/MS/DSC09900(MS).JPG
111,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/MS/DSC09902(MS).JPG
112,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/IMG_3540.JPG
113,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/IMG_3542.JPG
114,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/IMG_3545.JPG
115,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/myiodynastes maculatus 2.jpg
116,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/myiodynastes maculatus 3.jpg
117,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/myiodynastes maculatus1.jpg
118,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/47. Myiarchus phaeocephalus/SE/IMG_4062.JPG
119,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/47. Myiarchus phaeocephalus/SE/IMG_4064.JPG
120,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/47. Myiarchus phaeocephalus/SE/IMG_4072.JPG
121,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/MS/hembra
122,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4358.JPG
123,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4361.JPG
124,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4638.JPG
125,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4639.JPG
126,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4644.JPG
127,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4646.JPG
128,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4648.JPG
129,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/51. Pachyramphus albogriseus/MS/hembra
130,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/MS/DSC08277 (MS).jpg
131,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/SE/IMG_4281.JPG
132,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/SE/IMG_4457.JPG
133,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/SE/IMG_4615.JPG
134,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/SE/IMG_4703.JPG
135,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/6. Coragyps atratus/MS/DSC07522 (MS).JPG
136,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/60. Campylorhynchus fasciatus/MS/DSC01207(MS).JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/MS/DSC00001(MS).JPG
138,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/MS/DSC00002(MS).JPG
139,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/MS/DSC00004(MS).JPG
140,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/MS/DSC00006(MS).JPG
141,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta12.JPG
142,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta2.JPG
143,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta3.JPG
144,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta4.JPG
145,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta6.JPG
146,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/IMG_3669.JPG
147,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/IMG_3672.JPG
148,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/IMG_3673.JPG
149,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/IMG_3688.JPG
150,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/sporophila schistacea 2.jpg
151,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/sporophila schistacea.jpg
152,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4521.JPG
153,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4522.JPG
154,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4527.JPG
155,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4529.JPG
